Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99929,1.0,0.99964,0.99964,1.0,1.0,0.99964,1.0,1.0,1.0,1.0,0.99004,0.99004,0.99858,0.99964,1.0,1.0,0.99929,1.0,0.99929,0.99787,1.0,1.0
AGF,1.0,1.0,0.9927,1.0,0.9984,0.99266,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.89198,0.74112,0.98623,0.99665,1.0,1.0,0.99661,1.0,0.98839,0.96314,1.0,1.0
AGM,1.0,1.0,0.99554,1.0,0.99973,0.99547,1.0,1.0,0.99382,1.0,1.0,1.0,1.0,0.96055,0.85909,0.99162,0.99973,1.0,1.0,0.99946,1.0,0.99397,0.97822,1.0,1.0
AM,0,0,-2,0,1,-1,0,0,-1,0,0,0,0,18,-10,-4,1,0,0,2,0,0,-4,0,0
AUC,1.0,1.0,0.9913,1.0,0.99982,0.99107,1.0,1.0,0.9878,1.0,1.0,1.0,1.0,0.93175,0.76088,0.98374,0.99982,1.0,1.0,0.99964,1.0,0.98846,0.95815,1.0,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,0.9913,1.0,0.99231,0.99107,1.0,1.0,0.9878,1.0,1.0,1.0,1.0,0.73414,0.6125,0.98374,0.98387,1.0,1.0,0.98387,1.0,0.97727,0.9494,1.0,1.0
BCD,0.0,0.0,0.00036,0.0,0.00018,0.00018,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0032,0.00178,0.00071,0.00018,0.0,0.0,0.00036,0.0,0.0,0.00071,0.0,0.0
BM,1.0,1.0,0.98261,1.0,0.99964,0.98214,1.0,1.0,0.97561,1.0,1.0,1.0,1.0,0.8635,0.52175,0.96748,0.99964,1.0,1.0,0.99927,1.0,0.97691,0.9163,1.0,1.0
CEN,0,0,0.0123,0,0.00973,0.01096,0,0,0.01401,0,0,0,0,0.16059,0.20513,0.01992,0.01741,0,0,0.02034,0,0.02629,0.04559,0,0
DOR,None,None,None,None,None,None,None,None,None,None,None,None,None,813.04348,339.31579,None,None,None,None,None,None,118981.0,30261.0,None,None
DP,None,None,None,None,None,None,None,None,None,None,None,None,None,1.60443,1.3952,None,None,None,None,None,None,2.79826,2.47044,None,None
DPI,None,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None,None,None,None,Fair,Fair,None,None
ERR,0.0,0.0,0.00071,0.0,0.00036,0.00036,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00996,0.00996,0.00142,0.00036,0.0,0.0,0.00071,0.0,0.00071,0.00213,0.0,0.0
F0.5,1.0,1.0,0.99647,1.0,0.98765,0.99638,1.0,1.0,0.99502,1.0,1.0,1.0,1.0,0.6367,0.65625,0.99332,0.97403,1.0,1.0,0.97403,1.0,0.97727,0.96831,1.0,1.0
F1,1.0,1.0,0.99123,1.0,0.99225,0.99099,1.0,1.0,0.98765,1.0,1.0,1.0,1.0,0.70833,0.6,0.98347,0.98361,1.0,1.0,0.98361,1.0,0.97727,0.94828,1.0,1.0
F2,1.0,1.0,0.98604,1.0,0.99688,0.98566,1.0,1.0,0.98039,1.0,1.0,1.0,1.0,0.79812,0.55263,0.97381,0.99338,1.0,1.0,0.99338,1.0,0.97727,0.92905,1.0,1.0
FDR,0.0,0.0,0.0,0.0,0.01538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40351,0.3,0.0,0.03226,0.0,0.0,0.03226,0.0,0.02273,0.01786,0.0,0.0
FN,0,0,2,0,0,1,0,0,1,0,0,0,0,5,19,4,0,0,0,0,0,1,5,0,0
FNR,0.0,0.0,0.01739,0.0,0.0,0.01786,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.12821,0.475,0.03252,0.0,0.0,0.0,0.0,0.0,0.02273,0.08333,0.0,0.0
FOR,0.0,0.0,0.00074,0.0,0.0,0.00036,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00181,0.00683,0.00149,0.0,0.0,0.0,0.0,0.0,0.00036,0.00181,0.0,0.0
FP,0,0,0,0,1,0,0,0,0,0,0,0,0,23,9,0,1,0,0,2,0,1,1,0,0
FPR,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00829,0.00325,0.0,0.00036,0.0,0.0,0.00073,0.0,0.00036,0.00036,0.0,0.0
G,1.0,1.0,0.99127,1.0,0.99228,0.99103,1.0,1.0,0.98773,1.0,1.0,1.0,1.0,0.72112,0.60622,0.98361,0.98374,1.0,1.0,0.98374,1.0,0.97727,0.94884,1.0,1.0
GI,1.0,1.0,0.98261,1.0,0.99964,0.98214,1.0,1.0,0.97561,1.0,1.0,1.0,1.0,0.8635,0.52175,0.96748,0.99964,1.0,1.0,0.99927,1.0,0.97691,0.9163,1.0,1.0
GM,1.0,1.0,0.99127,1.0,0.99982,0.99103,1.0,1.0,0.98773,1.0,1.0,1.0,1.0,0.92982,0.72339,0.98361,0.99982,1.0,1.0,0.99964,1.0,0.98839,0.95725,1.0,1.0
IBA,1.0,1.0,0.96552,1.0,1.0,0.9646,1.0,1.0,0.95181,1.0,1.0,1.0,1.0,0.76089,0.27643,0.93602,1.0,1.0,1.0,1.0,1.0,0.95507,0.84031,1.0,1.0
IS,6.24793,6.3281,4.61189,4.43501,5.43501,5.65003,6.24793,5.87242,6.09983,6.03112,5.87242,6.87242,1.66785,5.42655,5.62088,4.51487,6.50318,3.55049,2.55651,5.50318,6.45738,5.96478,5.5245,5.70249,5.84267
