Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99929,1.0,0.99964,0.99964,1.0,1.0,0.99964,1.0,1.0,1.0,1.0,0.99502,0.99253,0.99929,0.99893,1.0,1.0,0.99964,1.0,0.99716,0.99964,1.0,0.99964
AGF,1.0,1.0,0.9927,1.0,0.9984,0.99266,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.94086,0.76902,0.99316,0.99004,1.0,1.0,0.9983,1.0,0.98201,0.99314,1.0,0.99793
AGM,1.0,1.0,0.99554,1.0,0.99973,0.99547,1.0,1.0,0.99382,1.0,1.0,1.0,1.0,0.97732,0.86915,0.99583,0.99919,1.0,1.0,0.99973,1.0,0.99784,0.99577,1.0,0.99973
AM,0,0,-2,0,1,-1,0,0,-1,0,0,0,0,8,-15,-2,3,0,0,1,0,8,-1,0,1
AUC,1.0,1.0,0.9913,1.0,0.99982,0.99107,1.0,1.0,0.9878,1.0,1.0,1.0,1.0,0.95956,0.77446,0.99187,0.99946,1.0,1.0,0.99982,1.0,0.99855,0.99167,1.0,0.99982
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,0.9913,1.0,0.99231,0.99107,1.0,1.0,0.9878,1.0,1.0,1.0,1.0,0.84452,0.715,0.99187,0.95455,1.0,1.0,0.9918,1.0,0.92308,0.99167,1.0,0.99
BCD,0.0,0.0,0.00036,0.0,0.00018,0.00018,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.00142,0.00267,0.00036,0.00053,0.0,0.0,0.00018,0.0,0.00142,0.00018,0.0,0.00018
BM,1.0,1.0,0.98261,1.0,0.99964,0.98214,1.0,1.0,0.97561,1.0,1.0,1.0,1.0,0.91911,0.54892,0.98374,0.99892,1.0,1.0,0.99964,1.0,0.99711,0.98333,1.0,0.99964
CEN,0,0,0.01073,0,0.00973,0.01096,0,0,0.01401,0,0,0,0,0.09819,0.17632,0.01164,0.04528,0,0,0.01024,0,0.0616,0.01037,0,0.01199
DOR,None,None,None,None,None,None,None,None,None,None,None,None,None,3013.09091,1128.11111,None,None,None,None,None,None,None,None,None,None
DP,None,None,None,None,None,None,None,None,None,None,None,None,None,1.91808,1.68285,None,None,None,None,None,None,None,None,None,None
DPI,None,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None,None,None,None,None,None,None,None
ERR,0.0,0.0,0.00071,0.0,0.00036,0.00036,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00498,0.00747,0.00071,0.00107,0.0,0.0,0.00036,0.0,0.00284,0.00036,0.0,0.00036
F0.5,1.0,1.0,0.99647,1.0,0.98765,0.99638,1.0,1.0,0.99502,1.0,1.0,1.0,1.0,0.79295,0.78571,0.99671,0.92593,1.0,1.0,0.98684,1.0,0.87302,0.99662,1.0,0.98394
F1,1.0,1.0,0.99123,1.0,0.99225,0.99099,1.0,1.0,0.98765,1.0,1.0,1.0,1.0,0.83721,0.67692,0.9918,0.95238,1.0,1.0,0.99174,1.0,0.91667,0.9916,1.0,0.9899
F2,1.0,1.0,0.98604,1.0,0.99688,0.98566,1.0,1.0,0.98039,1.0,1.0,1.0,1.0,0.8867,0.59459,0.98695,0.98039,1.0,1.0,0.99668,1.0,0.96491,0.98662,1.0,0.99593
FDR,0.0,0.0,0.0,0.0,0.01538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23404,0.12,0.0,0.09091,0.0,0.0,0.01639,0.0,0.15385,0.0,0.0,0.02
FN,0,0,2,0,0,1,0,0,1,0,0,0,0,3,18,2,0,0,0,0,0,0,1,0,0
FNR,0.0,0.0,0.01739,0.0,0.0,0.01786,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.07692,0.45,0.01626,0.0,0.0,0.0,0.0,0.0,0.0,0.01667,0.0,0.0
FOR,0.0,0.0,0.00074,0.0,0.0,0.00036,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00108,0.00646,0.00074,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.0
FP,0,0,0,0,1,0,0,0,0,0,0,0,0,11,3,0,3,0,0,1,0,8,0,0,1
FPR,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397,0.00108,0.0,0.00108,0.0,0.0,0.00036,0.0,0.00289,0.0,0.0,0.00036
G,1.0,1.0,0.99127,1.0,0.99228,0.99103,1.0,1.0,0.98773,1.0,1.0,1.0,1.0,0.84086,0.6957,0.99184,0.95346,1.0,1.0,0.99177,1.0,0.91987,0.99163,1.0,0.98995
GI,1.0,1.0,0.98261,1.0,0.99964,0.98214,1.0,1.0,0.97561,1.0,1.0,1.0,1.0,0.91911,0.54892,0.98374,0.99892,1.0,1.0,0.99964,1.0,0.99711,0.98333,1.0,0.99964
GM,1.0,1.0,0.99127,1.0,0.99982,0.99103,1.0,1.0,0.98773,1.0,1.0,1.0,1.0,0.95886,0.74122,0.99184,0.99946,1.0,1.0,0.99982,1.0,0.99855,0.99163,1.0,0.99982
