Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,1.0,1.0,0.99964,0.99964,1.0,1.0,0.99893,1.0,0.99964,1.0,0.99964,0.9904,0.98826,0.99964,0.99964,1.0,1.0,1.0,1.0,0.99573,0.9968,1.0,1.0
AGF,1.0,1.0,1.0,1.0,0.9984,0.99266,1.0,1.0,0.97737,1.0,0.99145,1.0,0.99984,0.91168,0.48426,0.99659,0.99665,1.0,1.0,1.0,1.0,0.95909,0.96921,1.0,1.0
AGM,1.0,1.0,1.0,1.0,0.99973,0.99547,1.0,1.0,0.98729,1.0,0.99472,1.0,0.99964,0.97385,0.72141,0.99792,0.99973,1.0,1.0,1.0,1.0,0.98573,0.98559,1.0,1.0
AM,0,0,0,0,1,-1,0,0,-1,0,-1,0,1,21,-31,-1,1,0,0,0,0,8,3,0,0
AUC,1.0,1.0,1.0,1.0,0.99982,0.99107,1.0,1.0,0.97543,1.0,0.98958,1.0,0.99974,0.95721,0.59982,0.99593,0.99982,1.0,1.0,1.0,1.0,0.97547,0.97391,1.0,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,1.0,1.0,0.99231,0.99107,1.0,1.0,0.96311,1.0,0.98958,1.0,0.99944,0.76154,0.54444,0.99593,0.98387,1.0,1.0,1.0,1.0,0.88112,0.92738,1.0,1.0
BCD,0.0,0.0,0.0,0.0,0.00018,0.00018,0.0,0.0,0.00018,0.0,0.00018,0.0,0.00018,0.00373,0.00551,0.00018,0.00018,0.0,0.0,0.0,0.0,0.00142,0.00053,0.0,0.0
BM,1.0,1.0,1.0,1.0,0.99964,0.98214,1.0,1.0,0.95086,1.0,0.97917,1.0,0.99948,0.91442,0.19964,0.99187,0.99964,1.0,1.0,1.0,1.0,0.95093,0.94782,1.0,1.0
CEN,0,0,0,0,0.00973,0.01096,0,0,0.04204,0,0.01238,0,0.00109,0.13194,0.21776,0.0058,0.01741,0,0,0,0,0.10327,0.07931,0,0
DOR,None,None,None,None,None,None,None,None,54015.0,None,None,None,None,1374.5,692.75,None,None,None,None,None,None,5791.8,8695.66667,None,None
DP,None,None,None,None,None,None,None,None,2.60917,None,None,None,None,1.73015,1.56609,None,None,None,None,None,None,2.07455,2.17185,None,None
DPI,None,None,None,None,None,None,None,None,Fair,None,None,None,None,Limited,Limited,None,None,None,None,None,None,Fair,Fair,None,None
