Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99964,1.0,0.99893,0.99893,1.0,1.0,0.99964,1.0,1.0,1.0,0.99929,0.98755,0.98755,1.0,1.0,1.0,1.0,1.0,1.0,0.99573,0.99431,0.99929,1.0
AGF,1.0,1.0,0.99636,1.0,0.98547,0.98905,1.0,1.0,0.99,1.0,1.0,1.0,0.99967,0.79614,0.77861,1.0,1.0,1.0,1.0,1.0,1.0,0.92831,0.89177,0.98468,1.0
AGM,1.0,1.0,0.99778,1.0,0.99176,0.99493,1.0,1.0,0.99382,1.0,1.0,1.0,0.99927,0.90203,0.88951,1.0,1.0,1.0,1.0,1.0,1.0,0.9628,0.93661,0.99056,1.0
AM,0,0,-1,0,-1,1,0,0,-1,0,0,0,2,9,5,0,0,0,0,0,0,0,-12,-2,0
AUC,1.0,1.0,0.99565,1.0,0.98419,0.99071,1.0,1.0,0.9878,1.0,1.0,1.0,0.99948,0.82937,0.80889,1.0,1.0,1.0,1.0,1.0,1.0,0.93073,0.88297,0.98148,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent
AUPR,1.0,1.0,0.99565,1.0,0.97644,0.97353,1.0,1.0,0.9878,1.0,1.0,1.0,0.99887,0.60417,0.59028,1.0,1.0,1.0,1.0,1.0,1.0,0.86364,0.8625,0.98148,1.0
BCD,0.0,0.0,0.00018,0.0,0.00018,0.00018,0.0,0.0,0.00018,0.0,0.0,0.0,0.00036,0.0016,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00213,0.00036,0.0
BM,1.0,1.0,0.9913,1.0,0.96839,0.98142,1.0,1.0,0.97561,1.0,1.0,1.0,0.99896,0.65873,0.61778,1.0,1.0,1.0,1.0,1.0,1.0,0.86147,0.76594,0.96296,1.0
CEN,0,0,0.00613,0,0.02674,0.02925,0,0,0.01401,0,0,0,0.00218,0.22305,0.25794,0,0,0,0,0,0,0.12362,0.12281,0.01935,0
DOR,None,None,None,None,85157.0,75735.0,None,None,None,None,None,None,None,250.09091,229.33333,None,None,None,None,None,None,2915.44444,4517.85714,None,None
DP,None,None,None,None,2.71817,2.6901,None,None,None,None,None,None,None,1.32214,1.30139,None,None,None,None,None,None,1.91019,2.01507,None,None
