Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,0.99964,1.0,0.99964,1.0,0.99893,0.99893,0.99964,1.0,0.99964,1.0,1.0,1.0,0.99964,0.99111,0.98862,0.99964,0.99964,0.98862,1.0,1.0,0.98862,0.99467,0.99609,0.99964,0.99964
AGF,0.99727,1.0,0.99636,1.0,0.99524,0.97767,0.99727,1.0,0.99,1.0,1.0,1.0,0.99984,0.84978,0.68946,0.99659,0.99665,0.98569,1.0,1.0,0.0,0.92195,0.96049,0.99239,0.99793
AGM,0.99973,1.0,0.99778,1.0,0.99918,0.98629,0.99973,1.0,0.99382,1.0,1.0,1.0,0.99964,0.92682,0.83183,0.99792,0.99973,0.9908,1.0,1.0,0,0.96201,0.98098,0.9953,0.99973
AM,1,0,-1,0,3,-3,1,0,-1,0,0,0,1,5,-12,-1,1,32,0,0,-32,3,3,-1,1
AUC,0.99982,1.0,0.99565,1.0,0.99945,0.97321,0.99982,1.0,0.9878,1.0,1.0,1.0,0.99974,0.86909,0.7232,0.99593,0.99982,0.99378,1.0,1.0,0.5,0.93019,0.96539,0.99074,0.99982
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent
AUPR,0.98684,1.0,0.99565,1.0,0.97761,0.97321,0.98684,1.0,0.9878,1.0,1.0,1.0,0.99944,0.70134,0.54643,0.99593,0.98387,0.94118,1.0,1.0,None,0.83607,0.91111,0.99074,0.99
BCD,0.00018,0.0,0.00018,0.0,0.00053,0.00053,0.00018,0.0,0.00018,0.0,0.0,0.0,0.00018,0.00089,0.00213,0.00018,0.00018,0.00569,0.0,0.0,0.00569,0.00053,0.00053,0.00018,0.00018
BM,0.99964,1.0,0.9913,1.0,0.99891,0.94643,0.99964,1.0,0.97561,1.0,1.0,1.0,0.99948,0.73818,0.44639,0.99187,0.99964,0.98756,1.0,1.0,0.0,0.86038,0.93079,0.98148,0.99964
CEN,0.01487,0,0.00613,0,0.02234,0.02554,0.01487,0,0.01401,0,0,0,0.00109,0.17964,0.26079,0.0058,0.01741,0.04476,0,0,0.0,0.13618,0.0926,0.01128,0.01199
DOR,None,None,None,None,None,None,None,None,None,None,None,None,None,533.21333,225.98182,None,None,None,None,None,None,1941.51852,5490.0,None,None
DP,None,None,None,None,None,None,None,None,None,None,None,None,None,1.50342,1.29787,None,None,None,None,None,None,1.81285,2.06173,None,None
DPI,None,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None,None,None,None,Limited,Fair,None,None
ERR,0.00036,0.0,0.00036,0.0,0.00107,0.00107,0.00036,0.0,0.00036,0.0,0.0,0.0,0.00036,0.00889,0.01138,0.00036,0.00036,0.01138,0.0,0.0,0.01138,0.00533,0.00391,0.00036,0.00036
F0.5,0.97884,1.0,0.99825,1.0,0.96386,0.98881,0.97884,1.0,0.99502,1.0,1.0,1.0,0.9991,0.67442,0.59211,0.99836,0.97403,0.90361,1.0,1.0,0.0,0.81897,0.89744,0.99624,0.98394
F1,0.98667,1.0,0.99563,1.0,0.9771,0.97248,0.98667,1.0,0.98765,1.0,1.0,1.0,0.99944,0.6988,0.52941,0.99592,0.98361,0.9375,1.0,1.0,0.0,0.83516,0.91057,0.99065,0.9899
F2,0.99462,1.0,0.99303,1.0,0.99071,0.95668,0.99462,1.0,0.98039,1.0,1.0,1.0,0.99977,0.725,0.47872,0.99349,0.99338,0.97403,1.0,1.0,0.0,0.85202,0.92409,0.98513,0.99593
FDR,0.02632,0.0,0.0,0.0,0.04478,0.0,0.02632,0.0,0.0,0.0,0.0,0.0,0.00113,0.34091,0.35714,0.0,0.03226,0.11765,0.0,0.0,None,0.19149,0.11111,0.0,0.02
FN,0,0,1,0,0,3,0,0,1,0,0,0,0,10,22,1,0,0,0,0,32,6,4,1,0
FNR,0.0,0.0,0.0087,0.0,0.0,0.05357,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.25641,0.55,0.00813,0.0,0.0,0.0,0.0,1.0,0.13636,0.06667,0.01852,0.0
FOR,0.0,0.0,0.00037,0.0,0.0,0.00109,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00361,0.0079,0.00037,0.0,0.0,0.0,0.0,0.01138,0.00217,0.00146,0.00036,0.0
FP,1,0,0,0,3,0,1,0,0,0,0,0,1,15,10,0,1,32,0,0,0,9,7,0,1
FPR,0.00036,0.0,0.0,0.0,0.00109,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.00052,0.00541,0.00361,0.0,0.00036,0.01244,0.0,0.0,0.0,0.00325,0.00254,0.0,0.00036
G,0.98675,1.0,0.99564,1.0,0.97736,0.97285,0.98675,1.0,0.98773,1.0,1.0,1.0,0.99944,0.70007,0.53785,0.99593,0.98374,0.93934,1.0,1.0,None,0.83562,0.91084,0.9907,0.98995
GI,0.99964,1.0,0.9913,1.0,0.99891,0.94643,0.99964,1.0,0.97561,1.0,1.0,1.0,0.99948,0.73818,0.44639,0.99187,0.99964,0.98756,1.0,1.0,0.0,0.86038,0.93079,0.98148,0.99964
GM,0.99982,1.0,0.99564,1.0,0.99945,0.97285,0.99982,1.0,0.98773,1.0,1.0,1.0,0.99974,0.85998,0.66961,0.99593,0.99982,0.99376,1.0,1.0,0.0,0.92781,0.96486,0.9907,0.99982
IBA,1.0,1.0,0.98268,1.0,1.0,0.89573,1.0,1.0,0.95181,1.0,1.0,1.0,1.0,0.55394,0.20339,0.98381,1.0,0.99985,1.0,1.0,0.0,0.74624,0.87126,0.96331,1.0
