Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99964,1.0,0.99858,0.99929,1.0,0.99964,0.99964,1.0,0.99964,1.0,0.99858,0.9936,0.9904,0.99964,0.99964,0.98862,1.0,1.0,0.98862,0.99431,0.9968,0.99929,1.0
AGF,1.0,1.0,0.99636,1.0,0.99366,0.98522,1.0,0.99789,0.99,1.0,0.99145,1.0,0.99934,0.87563,0.75668,0.99659,0.99665,0.98569,1.0,1.0,0.0,0.92784,0.96375,0.98468,1.0
AGM,1.0,1.0,0.99778,1.0,0.99891,0.9909,1.0,0.99973,0.99382,1.0,0.99472,1.0,0.99854,0.93577,0.86767,0.99792,0.99973,0.9908,1.0,1.0,0,0.96759,0.98152,0.99056,1.0
AM,0,0,-1,0,4,-2,0,1,-1,0,-1,0,4,0,-9,-1,1,32,0,0,-32,6,1,-2,0
AUC,1.0,1.0,0.99565,1.0,0.99927,0.98214,1.0,0.99982,0.9878,1.0,0.98958,1.0,0.99896,0.88299,0.77338,0.99593,0.99982,0.99378,1.0,1.0,0.5,0.94119,0.96576,0.98148,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,0.99565,1.0,0.97059,0.98214,1.0,0.9898,0.9878,1.0,0.98958,1.0,0.99775,0.76923,0.62984,0.99593,0.98387,0.94118,1.0,1.0,None,0.83318,0.92568,0.98148,1.0
BCD,0.0,0.0,0.00018,0.0,0.00071,0.00036,0.0,0.00018,0.00018,0.0,0.00018,0.0,0.00071,0.0,0.0016,0.00018,0.00018,0.00569,0.0,0.0,0.00569,0.00107,0.00018,0.00036,0.0
BM,1.0,1.0,0.9913,1.0,0.99854,0.96429,1.0,0.99964,0.97561,1.0,0.97917,1.0,0.99792,0.76599,0.54675,0.99187,0.99964,0.98756,1.0,1.0,0.0,0.88239,0.93152,0.96296,1.0
CEN,0,0,0.00613,0,0.0328,0.01882,0,0.01218,0.01401,0,0.01238,0,0.00436,0.15492,0.25945,0.0058,0.01741,0.04476,0,0,0.0,0.15117,0.07439,0.01935,0
DOR,None,None,None,None,None,None,None,None,None,None,None,None,None,1023.7037,375.22222,None,None,None,None,None,None,1954.96364,7691.6,None,None
DP,None,None,None,None,None,None,None,None,None,None,None,None,None,1.6596,1.41928,None,None,None,None,None,None,1.8145,2.14247,None,None
DPI,None,None,None,None,None,None,None,None,None,None,None,None,None,Limited,Limited,None,None,None,None,None,None,Limited,Fair,None,None
ERR,0.0,0.0,0.00036,0.0,0.00142,0.00071,0.0,0.00036,0.00036,0.0,0.00036,0.0,0.00142,0.0064,0.0096,0.00036,0.00036,0.01138,0.0,0.0,0.01138,0.00569,0.0032,0.00071,0.0
F0.5,1.0,1.0,0.99825,1.0,0.95238,0.99265,1.0,0.98361,0.99502,1.0,0.99576,1.0,0.9964,0.76923,0.67073,0.99836,0.97403,0.90361,1.0,1.0,0.0,0.79918,0.92105,0.99237,1.0
F1,1.0,1.0,0.99563,1.0,0.9697,0.98182,1.0,0.98969,0.98765,1.0,0.98947,1.0,0.99775,0.76923,0.61972,0.99592,0.98361,0.9375,1.0,1.0,0.0,0.82979,0.92562,0.98113,1.0
F2,1.0,1.0,0.99303,1.0,0.98765,0.97122,1.0,0.99585,0.98039,1.0,0.98326,1.0,0.9991,0.76923,0.57592,0.99349,0.99338,0.97403,1.0,1.0,0.0,0.86283,0.93023,0.97015,1.0
FDR,0.0,0.0,0.0,0.0,0.05882,0.0,0.0,0.02041,0.0,0.0,0.0,0.0,0.0045,0.23077,0.29032,0.0,0.03226,0.11765,0.0,0.0,None,0.22,0.08197,0.0,0.0
FN,0,0,1,0,0,2,0,0,1,0,1,0,0,9,18,1,0,0,0,0,32,5,4,2,0
FNR,0.0,0.0,0.0087,0.0,0.0,0.03571,0.0,0.0,0.02439,0.0,0.02083,0.0,0.0,0.23077,0.45,0.00813,0.0,0.0,0.0,0.0,1.0,0.11364,0.06667,0.03704,0.0
FOR,0.0,0.0,0.00037,0.0,0.0,0.00073,0.0,0.0,0.00036,0.0,0.00036,0.0,0.0,0.00325,0.00647,0.00037,0.0,0.0,0.0,0.0,0.01138,0.00181,0.00145,0.00072,0.0
FP,0,0,0,0,4,0,0,1,0,0,0,0,4,9,9,0,1,32,0,0,0,11,5,0,0
