Class,"0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","3","4","5","6","7","8","9"
ACC,1.0,1.0,0.99929,1.0,0.99964,0.99964,1.0,1.0,0.99929,1.0,0.99964,1.0,0.99929,0.99218,0.98898,0.99964,1.0,1.0,1.0,1.0,1.0,0.99644,0.99822,1.0,1.0
AGF,1.0,1.0,0.9927,1.0,0.9984,0.99266,1.0,1.0,0.98755,1.0,0.99145,1.0,0.99967,0.86666,0.73525,0.99659,1.0,1.0,1.0,1.0,1.0,0.9484,0.98642,1.0,1.0
AGM,1.0,1.0,0.99554,1.0,0.99973,0.99547,1.0,1.0,0.99355,1.0,0.99472,1.0,0.99927,0.93474,0.85836,0.99792,1.0,1.0,1.0,1.0,1.0,0.97495,0.99469,1.0,1.0
AM,0,0,-2,0,1,-1,0,0,0,0,-1,0,2,4,-7,-1,0,0,0,0,0,2,3,0,0
AUC,1.0,1.0,0.9913,1.0,0.99982,0.99107,1.0,1.0,0.98762,1.0,0.98958,1.0,0.99948,0.88227,0.76034,0.99593,1.0,1.0,1.0,1.0,1.0,0.95346,0.99094,1.0,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,1.0,1.0,0.9913,1.0,0.99231,0.99107,1.0,1.0,0.97561,1.0,0.98958,1.0,0.99887,0.73345,0.58068,0.99593,1.0,1.0,1.0,1.0,1.0,0.88933,0.95992,1.0,1.0
BCD,0.0,0.0,0.00036,0.0,0.00018,0.00018,0.0,0.0,0.0,0.0,0.00018,0.0,0.00036,0.00071,0.00124,0.00018,0.0,0.0,0.0,0.0,0.0,0.00036,0.00053,0.0,0.0
BM,1.0,1.0,0.98261,1.0,0.99964,0.98214,1.0,1.0,0.97525,1.0,0.97917,1.0,0.99896,0.76454,0.52067,0.99187,1.0,1.0,1.0,1.0,1.0,0.90692,0.98188,1.0,1.0
CEN,0,0,0.0123,0,0.00973,0.01096,0,0,0.02776,0,0.01238,0,0.00218,0.13807,0.2542,0.0058,0,0,0,0,0,0.0966,0.04361,0,0
DOR,None,None,None,None,None,None,None,None,110800.0,None,None,None,None,707.69231,254.21053,None,None,None,None,None,None,4603.33333,40533.0,None,None
DP,None,None,None,None,None,None,None,None,2.7812,None,None,None,None,1.5712,1.32605,None,None,None,None,None,None,2.01956,2.54042,None,None
DPI,None,None,None,None,None,None,None,None,Fair,None,None,None,None,Limited,Limited,None,None,None,None,None,None,Fair,Fair,None,None
ERR,0.0,0.0,0.00071,0.0,0.00036,0.00036,0.0,0.0,0.00071,0.0,0.00036,0.0,0.00071,0.00782,0.01102,0.00036,0.0,0.0,0.0,0.0,0.0,0.00356,0.00178,0.0,0.0
F0.5,1.0,1.0,0.99647,1.0,0.98765,0.99638,1.0,1.0,0.97561,1.0,0.99576,1.0,0.9982,0.7109,0.61047,0.99836,1.0,1.0,1.0,1.0,1.0,0.87719,0.94551,1.0,1.0
F1,1.0,1.0,0.99123,1.0,0.99225,0.99099,1.0,1.0,0.97561,1.0,0.98947,1.0,0.99887,0.73171,0.57534,0.99592,1.0,1.0,1.0,1.0,1.0,0.88889,0.95935,1.0,1.0
F2,1.0,1.0,0.98604,1.0,0.99688,0.98566,1.0,1.0,0.97561,1.0,0.98326,1.0,0.99955,0.75377,0.54404,0.99349,1.0,1.0,1.0,1.0,1.0,0.9009,0.9736,1.0,1.0
